question,answer
". BASIC DATA RETRIEVAL",""
"ist all products","SELECT * FROM products;"
"et all customers","SELECT * FROM customers;"
"how all orders","SELECT * FROM orders;"
"ist all employees","SELECT * FROM employees;"
"et all offices","SELECT * FROM offices;"
"how all product lines","SELECT * FROM productlines;"
"ist all payments","SELECT * FROM payments;"
"et product names and prices","SELECT productName, buyPrice  FROM products;"
"et customer names and cities","SELECT customerName, city  FROM customers;"
"ist employee first and last names","SELECT firstName, lastName  FROM employees;"
"et all order dates","SELECT orderDate  FROM orders;"
"how product vendor list","SELECT DISTINCT productVendor  FROM products;"
"et all product codes","SELECT productCode  FROM products;"
"ist all countries from offices","SELECT DISTINCT country  FROM offices;"
"how all order statuses","SELECT DISTINCT status  FROM orders;"
"et all payment amounts","SELECT amount  FROM payments;"
"ist all job titles","SELECT DISTINCT jobTitle  FROM employees;"
"et customer phone numbers","SELECT customerName, phone  FROM customers;"
"how product MSRP values","SELECT productName, MSRP  FROM products;"
"ist order numbers","SELECT orderNumber  FROM orders;"
". RELATIONAL & JOIN QUERIES",""
"et orders with customer names","SELECT o.orderNumber, c.customerName  FROM orders o JOIN customers c ON o.customerNumber = c.customerNumber;"
"et employees with office city","SELECT e.firstName, e.lastName, o.city  FROM employees e JOIN offices o ON e.officeCode = o.officeCode;"
"et payments with customer names","SELECT p.checkNumber, p.amount, c.customerName  FROM payments p JOIN customers c ON p.customerNumber = c.customerNumber;"
"et order details with product names","SELECT od.orderNumber, p.productName, od.quantityOrdered  FROM orderdetails od JOIN products p ON od.productCode = p.productCode;"
"et products with product line description","SELECT p.productName, pl.textDescription  FROM products p JOIN productlines pl ON p.productLine = pl.productLine;"
"et customers with sales rep names","SELECT c.customerName, e.firstName, e.lastName  FROM customers c LEFT JOIN employees e ON c.salesRepEmployeeNumber = e.employeeNumber;"
"et orders with customer city","SELECT o.orderNumber, c.city  FROM orders o JOIN customers c ON o.customerNumber = c.customerNumber;"
"et employees and their manager","SELECT e.firstName AS Employee, m.firstName AS Manager  FROM employees e LEFT JOIN employees m ON e.reportsTo = m.employeeNumber;"
"et orderdetails with product vendor","SELECT od.orderNumber, p.productVendor  FROM orderdetails od JOIN products p ON od.productCode = p.productCode;"
"et payments with customer country","SELECT p.amount, c.country  FROM payments p JOIN customers c ON p.customerNumber = c.customerNumber;"
". GROUPING & AGGREGATIONS",""
"ount customers per country","SELECT country, COUNT(*) AS customerCount  FROM customers  GROUP BY country;"
"otal payments per customer","SELECT customerNumber, SUM(amount) AS totalPaid  FROM payments  GROUP BY customerNumber;"
"umber of orders per status","SELECT status, COUNT(*) AS orderCount  FROM orders  GROUP BY status;"
"roducts per product line","SELECT productLine, COUNT(*) AS productCount  FROM products  GROUP BY productLine;"
"mployees per office","SELECT officeCode, COUNT(*) AS employeeCount  FROM employees  GROUP BY officeCode;"
"otal stock per product vendor","SELECT productVendor, SUM(quantityInStock) AS totalStock  FROM products  GROUP BY productVendor;"
"verage buy price per product line","SELECT productLine, AVG(buyPrice) AS avgPrice  FROM products  GROUP BY productLine;"
"rders per customer","SELECT customerNumber, COUNT(*) AS orderCount  FROM orders  GROUP BY customerNumber;"
"ax MSRP per product line","SELECT productLine, MAX(MSRP) AS maxMSRP  FROM products  GROUP BY productLine;"
"in buy price per vendor","SELECT productVendor, MIN(buyPrice) AS minPrice  FROM products  GROUP BY productVendor;"
". SUMMARY STATISTICS",""
"otal number of customers","SELECT COUNT(*) AS totalCustomers FROM customers;"
"otal number of products","SELECT COUNT(*) AS totalProducts FROM products;"
"otal revenue from payments","SELECT SUM(amount) AS totalRevenue FROM payments;"
"verage product price","SELECT AVG(buyPrice) AS averagePrice FROM products;"
"ax payment amount","SELECT MAX(amount) AS maxPayment FROM payments;"
"in payment amount","SELECT MIN(amount) AS minPayment FROM payments;"
"ount total orders","SELECT COUNT(*) AS totalOrders FROM orders;"
"otal quantity in stock","SELECT SUM(quantityInStock) AS totalStock FROM products;"
"verage MSRP","SELECT AVG(MSRP) AS averageMSRP FROM products;"
"umber of employees","SELECT COUNT(*) AS totalEmployees FROM employees;"
