question,answer
". BASIC DATA RETRIEVAL",""
"list all products","SELECT * FROM products;"
"get all customers","SELECT * FROM customers;"
"show all orders","SELECT * FROM orders;"
"list all employees","SELECT * FROM employees;"
"get all offices","SELECT * FROM offices;"
"show all product lines","SELECT * FROM productlines;"
"list all payments","SELECT * FROM payments;"
"get product names and prices","SELECT productName, buyPrice  FROM products;"
"get customer names and cities","SELECT customerName, city  FROM customers;"
"list employee first and last names","SELECT firstName, lastName  FROM employees;"
"get all order dates","SELECT orderDate  FROM orders;"
"show product vendor list","SELECT DISTINCT productVendor  FROM products;"
"get all product codes","SELECT productCode  FROM products;"
"list all countries from offices","SELECT DISTINCT country  FROM offices;"
"show all order statuses","SELECT DISTINCT status  FROM orders;"
"get all payment amounts","SELECT amount  FROM payments;"
"list all job titles","SELECT DISTINCT jobTitle  FROM employees;"
"get customer phone numbers","SELECT customerName, phone  FROM customers;"
"show product MSRP values","SELECT productName, MSRP  FROM products;"
"list order numbers","SELECT orderNumber  FROM orders;"
". RELATIONAL & JOIN QUERIES",""
"get orders with customer names","SELECT o.orderNumber, c.customerName  FROM orders o JOIN customers c ON o.customerNumber = c.customerNumber;"
"get employees with office city","SELECT e.firstName, e.lastName, o.city  FROM employees e JOIN offices o ON e.officeCode = o.officeCode;"
"get payments with customer names","SELECT p.checkNumber, p.amount, c.customerName  FROM payments p JOIN customers c ON p.customerNumber = c.customerNumber;"
"get order details with product names","SELECT od.orderNumber, p.productName, od.quantityOrdered  FROM orderdetails od JOIN products p ON od.productCode = p.productCode;"
"get products with product line description","SELECT p.productName, pl.textDescription  FROM products p JOIN productlines pl ON p.productLine = pl.productLine;"
"get customers with sales rep names","SELECT c.customerName, e.firstName, e.lastName  FROM customers c LEFT JOIN employees e ON c.salesRepEmployeeNumber = e.employeeNumber;"
"get orders with customer city","SELECT o.orderNumber, c.city  FROM orders o JOIN customers c ON o.customerNumber = c.customerNumber;"
"get employees and their manager","SELECT e.firstName AS Employee, m.firstName AS Manager  FROM employees e LEFT JOIN employees m ON e.reportsTo = m.employeeNumber;"
"get orderdetails with product vendor","SELECT od.orderNumber, p.productVendor  FROM orderdetails od JOIN products p ON od.productCode = p.productCode;"
"get payments with customer country","SELECT p.amount, c.country  FROM payments p JOIN customers c ON p.customerNumber = c.customerNumber;"
". GROUPING & AGGREGATIONS",""
"count customers per country","SELECT country, COUNT(*) AS customerCount  FROM customers  GROUP BY country;"
"total payments per customer","SELECT customerNumber, SUM(amount) AS totalPaid  FROM payments  GROUP BY customerNumber;"
"number of orders per status","SELECT status, COUNT(*) AS orderCount  FROM orders  GROUP BY status;"
"products per product line","SELECT productLine, COUNT(*) AS productCount  FROM products  GROUP BY productLine;"
"employees per office","SELECT officeCode, COUNT(*) AS employeeCount  FROM employees  GROUP BY officeCode;"
"total stock per product vendor","SELECT productVendor, SUM(quantityInStock) AS totalStock  FROM products  GROUP BY productVendor;"
"average buy price per product line","SELECT productLine, AVG(buyPrice) AS avgPrice  FROM products  GROUP BY productLine;"
"orders per customer","SELECT customerNumber, COUNT(*) AS orderCount  FROM orders  GROUP BY customerNumber;"
"max MSRP per product line","SELECT productLine, MAX(MSRP) AS maxMSRP  FROM products  GROUP BY productLine;"
"min buy price per vendor","SELECT productVendor, MIN(buyPrice) AS minPrice  FROM products  GROUP BY productVendor;"
". SUMMARY STATISTICS",""
"total number of customers","SELECT COUNT(*) AS totalCustomers FROM customers;"
"total number of products","SELECT COUNT(*) AS totalProducts FROM products;"
"total revenue from payments","SELECT SUM(amount) AS totalRevenue FROM payments;"
"average product price","SELECT AVG(buyPrice) AS averagePrice FROM products;"
"max payment amount","SELECT MAX(amount) AS maxPayment FROM payments;"
"min payment amount","SELECT MIN(amount) AS minPayment FROM payments;"
"count total orders","SELECT COUNT(*) AS totalOrders FROM orders;"
"total quantity in stock","SELECT SUM(quantityInStock) AS totalStock FROM products;"
"average MSRP","SELECT AVG(MSRP) AS averageMSRP FROM products;"
"number of employees","SELECT COUNT(*) AS totalEmployees FROM employees;"
